,videoID,user,comment,date
4007,W4P8gl4dnrg,Quân Dương,điệp khúc cứu cả bài hát.,2022-04-14T04:48:46Z
4008,W4P8gl4dnrg,Minh hiếu Phạm,tại sao bài này nghe hoài k chán vậy m.n ơi m.n ơi m.n ơi,2022-04-14T04:42:33Z
4009,W4P8gl4dnrg,Vy Trieu,bản này ok quá mà,2022-04-14T04:00:19Z
4010,W4P8gl4dnrg,Tuấn Phạm,mong sao có nhiều sự kết hợp nữa giữa chị với phan mạnh quỳnh nữa cho mọi người được thưởng thức,2022-04-14T03:41:40Z
4011,W4P8gl4dnrg,Lê Anh Tú,nghe giống kiểu giai điệu hongkong ngày xưa :d,2022-04-14T02:56:15Z
4012,W4P8gl4dnrg,GIÓ TV,bài này hay quá,2022-04-14T02:47:53Z
4013,W4P8gl4dnrg,trung mã,mình muốn mỹ tâm trợ giúp niềm đam mê xe đạp của mình,2022-04-14T02:36:48Z
4014,W4P8gl4dnrg,Chú Út Chú Con Cẩm Chướng,sao lại có ng nói trung quang hát hay hơn chế nhỉ,2022-04-14T02:29:33Z
4015,W4P8gl4dnrg,Manh Tran,wa đỉnh luôn c iu,2022-04-14T02:08:12Z
4016,W4P8gl4dnrg,MTL vlog,phong cách pmq k lẫn vào đâu dc chị hat đỉnh luôn,2022-04-14T01:59:18Z
4017,W4P8gl4dnrg,Duy Nguyen,hay quá đáng,2022-04-14T01:53:20Z
4018,W4P8gl4dnrg,MS. BUNNY,"ngày buổi sáng mình cũng nghe và cảm thấy thấy yêu đời, yêu cuộc sống, yêu người đến cuồng nhiệt.",2022-04-14T00:52:41Z
4019,W4P8gl4dnrg,Thanh Nhàn Lê,"yêu mãi giọng hát mỹ tâm , quá hay",2022-04-13T16:19:43Z
4020,W4P8gl4dnrg,ADam BĐS,nhạc pmq có gì đó mê hoặc quá,2022-04-13T16:00:20Z
4021,W4P8gl4dnrg,Tùng Hoàng,nghe ông đánh bass phiêu thật. love 3000,2022-04-13T15:44:31Z
4022,W4P8gl4dnrg,ánh nguyễn,"ủa chị như tẩm bùa vậy á, nghe mãi không chán, không thể nào dứt ra được",2022-04-13T15:24:32Z
4023,W4P8gl4dnrg,Tâm Tâm,hay và tâm trạng quá chị ơi em nge mà muốn rơi nước mắt,2022-04-13T15:24:20Z
4024,W4P8gl4dnrg,Bui Van Dinh,em me dong chi tu be. gi chi van đinh. mong chi mai tre va xinh,2022-04-13T15:06:46Z
4025,W4P8gl4dnrg,Kinh Sách Nói Hay,"mình không tìm nhau mà vô tình vương vấn sau tiếng ca chiều mưa thân thương trong từng đong đưa mắt môi về em mùa xuân ấy có nụ cười lấp lánh ở gần bên anh em vui như bao nhiêu lâu trở lại mùa yêu đầu vẫn bỡ ngỡ ban sơ ở trong từng ánh nhìn vẫn da diết nỗi ưu phiền khi phải chờ mong hay là đôi ta hẹn ước từ hư vô để gặp nhau chỉ khi vừa ngày giờ anh và em bước chung đoạn đường đời mình yêu nhau có trời đất biết ta được chung đôi như suối, được trăng thanh dịu êm yên lắng như em an bình mọi giây với anh sau những cô đơn tổn thương đã xa ta lại thấy con tim hiền hòa hạt mưa trên mái hiên lâu nay thi thoảng nhắc em không quên ngày nên thơ riêng em chỉ biết cảm ơn nhân duyên chuyện hôm qua vì mùa hoa ấy anh sang thăm em cùng một tình yêu lớn lao bàn tay, đôi vai đưa em tự do bước theo giấc mơ chẳng lo sợ (chẳng lo sợ) và cách chúng ta thấu hiểu nhau ân cần muôn khoảnh khắc chẳng thua gì phép màu hay là đôi ta hẹn ước từ hư vô để gặp nhau chỉ khi vừa ngày giờ anh và em bước chung đoạn đường đời mình yêu nhau có trời đất biết ta được chung đôi như suối, được trăng thanh dịu êm yên lắng như em an bình mọi giây với anh sau những cô đơn tổn thương đã xa ta lại thấy con tim hiền hòa hay là đôi ta hẹn ước từ hư vô để gặp nhau chỉ khi vừa ngày giờ anh và em bước chung đoạn đường đời mình yêu nhau có trời đất biết ta được chung đôi như suối, được trăng thanh dịu êm yên lắng như em an bình mọi giây với anh sau những cô đơn tổn thương đã xa ta lại thấy con tim hiền hòa sau những cô đơn tổn thương đã xa ta lại thấy con tim hiền hòa",2022-04-13T15:05:57Z
4026,W4P8gl4dnrg,Linh Vo,vô tình xem tik tok thấy bạn tên my đã mất thích nghe bài này. lên youtube mở nghe thử thì ra mình đã từng nghe nhưng sao lần này nghe cảm xúc lạ thật,2022-04-13T14:59:19Z
4027,W4P8gl4dnrg,sinh pham,hay lắm.,2022-04-13T14:32:34Z
4028,W4P8gl4dnrg,Loan Tuyet,lần đầu nghe đã thấm... rồi nghiện h ước có ck đám cưới hát bài này,2022-04-13T14:22:23Z
4029,W4P8gl4dnrg,Tin Hót,chị tâm mãi đỉnh ^^,2022-04-13T13:55:59Z
4030,W4P8gl4dnrg,Thi Luu,bài hát hay quá,2022-04-13T13:40:39Z
4031,W4P8gl4dnrg,Diep Kieu,hvg xử moaiippp đã estate,2022-04-13T13:27:03Z
4032,W4P8gl4dnrg,Dan Xuan,hay quá!,2022-04-13T13:12:22Z
4033,W4P8gl4dnrg,trung FAP tỜ Vờ,hay quá chị mỹ tâm ơi lớp 7 là đã nge nhạc cửa chị rồi,2022-04-13T12:45:46Z
4034,W4P8gl4dnrg,letuanakala,sao lại tràn về cảm giác tiếc nuối thế này nhỉ?,2022-04-13T11:48:15Z
4035,W4P8gl4dnrg,Ruenbi Byă,nghe bài hát này. nhớ quê nhà quá. chị hát rất hay,2022-04-13T11:45:11Z
4036,W4P8gl4dnrg,Tuan Hoangminh,sau này khó tìm ra ca sĩ hát được như mỹ tâm. nên ae tận hưởng đi nhé,2022-04-13T11:33:49Z
4037,W4P8gl4dnrg,Thị Thã Phạm,mỗi ngày bật 2 máy 2 bài rồi để chế độ vòng lặp cho tới lúc tan ca.,2022-04-13T10:35:32Z
4038,W4P8gl4dnrg,VinDuo,"lời bài hát quá đẹp .. còn giọng chị mỹ tâm thì khỏi bàn, quá xuất sắc",2022-04-13T10:07:56Z
4039,W4P8gl4dnrg,Tuan Hoang,quá hay luôn.,2022-04-13T09:44:46Z
4040,W4P8gl4dnrg,thanhliem ngo,"mỹ tâm ơi.! nàng năm nay đã quá ""băm"" rồi đấy..lấy chồng sinh con đi nghe chưa..mà phải là sinh bé gái..như thế mới thừa kế được giọng hát của mẹ..",2022-04-13T09:42:07Z
4041,W4P8gl4dnrg,100k USD,"đúng là phan mạnh quỳnh có khác, chàng trai 91 viết nhiều bài hay quá",2022-04-13T09:29:25Z
4042,W4P8gl4dnrg,Khang Kha,u mê cái giọng ni,2022-04-13T09:22:50Z
4043,W4P8gl4dnrg,Thành Đinh Trọng,hay quá ạ,2022-04-13T09:10:53Z
4044,W4P8gl4dnrg,Xuân Bắc Trần,"cảm ơn c tâm, sau này e học vẽ sẽ vẽ tặng c 1 bức nhé <3",2022-04-13T09:10:51Z
4045,W4P8gl4dnrg,Yến Như,"mình có công việc làm ol,ai quan tâm cv kiếm tiền thì nt cho mình",2022-04-13T08:48:52Z
4046,W4P8gl4dnrg,Hai PhamThanh,bản độc quyền k cho tải :)) !,2022-04-13T08:28:12Z
4047,W4P8gl4dnrg,bui Mr,"mặc dù 1 tháng trôi qua, nhưng thấy lượt view vẫn tăng đều",2022-04-13T08:16:35Z
4048,W4P8gl4dnrg,Hoàng Sơn,thật buồn khi tôi biết đến bài hát này qua 1 vụ án mạng của 1 cô gái trẻ,2022-04-13T08:09:12Z
4049,W4P8gl4dnrg,Lê Trần,nhạc của chị em nghe rất là thấm luôn. nó cứ du dưa như hòa vào thiên nhiên dạ,2022-04-13T08:02:29Z
4050,W4P8gl4dnrg,Lê Trần,yêu chị lắm,2022-04-13T08:00:55Z
4051,W4P8gl4dnrg,Q.Channel,:b :b :b :b :b :b :b :b,2022-04-13T07:59:56Z
4052,W4P8gl4dnrg,Huyền Hoàng,nhạc hay quá ạ !,2022-04-13T07:56:51Z
4053,W4P8gl4dnrg,Hạnh Kiều,nghe mãi k chán,2022-04-13T07:24:16Z
4054,W4P8gl4dnrg,Nam Nguyen,"bài hát rất tuyệt vời, nhẹ nhàng... ai yêu bài này cũng nên nghe thử bản cover của jee tran",2022-04-13T06:57:58Z
4055,W4P8gl4dnrg,Trương Quỳnh Oanh,"em nghe chị từ hồi bé xíu đến giờ! âm nhạc của chị không biên giới, không tuổi tác ai cũng đều nghe được, nó thấm khi nghe kỹ từng câu chữ! buồn thì em nghe nhạc chị, mà vui cũng nghe… xua tan hết stress sau những giờ làm việc mệt mỏi! nhẹ nhàng và thanh thoát, các nốt nhạc như một bản khiêu vũ nhẹ nhàng, uyển chuyển! yêu chị mỹ tâm",2022-04-13T06:52:35Z
4056,W4P8gl4dnrg,Sa Ly,"còn giọng hát nào đỉnh hơn chị tâm kg,hii.chac chán là không rồi",2022-04-13T06:32:55Z
4057,W4P8gl4dnrg,Bich Doan,quá hay,2022-04-13T06:12:33Z
4058,W4P8gl4dnrg,Sinh Kim,"chị hát trên sân khấu , dưới đang khiêu vũ nữa thì lại hợp lý",2022-04-13T05:40:42Z
4059,W4P8gl4dnrg,Bảo Trang,hay quá chị ơi. hk phải rượu nhưng vẫn say,2022-04-13T05:39:12Z
4060,W4P8gl4dnrg,Thuy Lai,rất hay chị ơi!,2022-04-13T05:33:33Z
4061,W4P8gl4dnrg,Bơ Bo Vlog,chưa bao giờ hết yêu chị,2022-04-13T04:59:03Z
4062,W4P8gl4dnrg,29 NorthSide,ooi moi tinh dau cua minh :),2022-04-13T04:50:59Z
4063,W4P8gl4dnrg,Henry Nguyễn,hay quá chị mỹ tâm ơi,2022-04-13T04:39:28Z
